,Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
38,337,1997,NBA,2,39,SAC,Anthony Johnson,22.272,G,us,College of Charleston,1998,2010,793,19.6,5.6,1.7,2.9,0.7,0.1,.414,.431,.356,.745,23.2,.072
39,338,1993,NBA,1,6,WSB,Calbert Cheaney,21.354,G-F,us,Indiana University,1994,2006,825,26.7,9.5,3.2,1.7,0.8,0.2,.466,.483,.298,.691,23.1,.050
40,339,1996,NBA,2,30,HOU,Othella Harrington,22.152,F-C,us,Georgetown University,1997,2008,709,19.6,7.4,4.4,0.6,0.3,0.4,.505,.507,.000,.738,23.1,.080
41,340,1996,NBA,2,37,DEN,Jeff McInnis,21.253,G,us,University of North Carolina,1997,2008,576,27.7,9.4,2.0,4.4,0.6,0.1,.431,.454,.328,.796,23.1,.070
44,341,2000,NBA,1,17,SEA,Desmond Mason,22.266,F,us,Oklahoma State University,2001,2010,643,30.5,12.1,4.5,1.6,0.7,0.4,.449,.456,.260,.740,23.1,.056
45,342,2000,NBA,1,9,HOU,Joel Przybilla,20.267,C,us,University of Minnesota,2001,2013,592,19.8,3.9,6.2,0.4,0.3,1.4,.552,.553,.000,.557,23.0,.094
46,343,2009,NBA,2,33,POR,Dante Cunningham,22.070,F,us,Villanova University,2010,2018,651,21.4,6.1,3.8,0.7,0.7,0.5,.469,.494,.332,.645,23.0,.079
47,344,1993,NBA,1,5,MIN,Isaiah Rider,22.116,G,us,"University of Nevada, Las Vegas",1994,2002,563,31.7,16.7,3.8,2.7,0.7,0.2,.443,.471,.352,.812,22.8,.061
48,345,2005,NBA,1,7,TOR,Charlie Villanueva,20.313,F,us,University of Connecticut,2006,2016,656,20.7,10.4,4.6,0.8,0.5,0.5,.435,.484,.341,.772,22.6,.080
49,346,2007,NBA,1,10,SAC,Spencer Hawes,19.065,C-F,us,University of Washington,2008,2017,684,22.7,8.7,5.7,1.9,0.4,1.0,.457,.482,.350,.716,22.6,.070
50,347,2003,NBA,1,25,DET,Carlos Delfino,20.306,G,ar,,2005,2013,507,22.8,8.1,3.6,1.7,0.9,0.2,.401,.438,.365,.758,22.5,.093
51,348,2009,NBA,2,39,DET,Jonas Jerebko,22.121,F,se,,2010,2018,562,18.0,6.2,4.0,0.8,0.5,0.2,.457,.502,.363,.766,22.4,.107
52,349,1997,NBA,1,10,MIL,Danny Fortson,21.095,F,us,University of Cincinnati,1998,2007,440,20.1,8.2,7.2,0.7,0.4,0.2,.472,.473,.167,.785,22.3,.121
53,350,2011,NBA,1,14,HOU,Marcus Morris,21.299,F,us,University of Kansas,2012,2018,470,26.3,11.2,4.4,1.5,0.7,0.2,.428,.471,.357,.731,22.3,.087
54,351,2013,NBA,1,10,POR,CJ McCollum,21.287,G,us,Lehigh University,2014,2018,341,29.2,17.2,3.0,2.9,0.9,0.3,.454,.476,.408,.842,22.2,.107
55,352,2011,NBA,1,13,PHO,Markieff Morris,21.299,F,us,University of Kansas,2012,2018,521,26.4,11.9,5.6,1.7,0.9,0.6,.451,.481,.338,.778,22.1,.077
56,353,1992,NBA,2,41,HOU,Popeye Jones,22.013,F,us,Murray State University,1994,2004,535,23.5,7.0,7.4,1.3,0.6,0.3,.447,.451,.281,.751,22.0,.084
57,354,2008,NBA,1,19,CLE,J.J. Hickson,19.300,F-C,us,North Carolina State University,2009,2016,534,22.3,9.5,6.8,0.8,0.5,0.6,.505,.508,.000,.617,21.9,.088
58,355,2009,NBA,1,16,CHI,James Johnson,22.131,F,us,Wake Forest University,2010,2018,547,20.7,8.0,3.6,2.1,0.8,0.9,.481,.534,.299,.694,21.9,.093
59,356,2013,NBA,1,2,ORL,Victor Oladipo,21.059,G,us,Indiana University,2014,2018,366,33.4,17.4,4.5,3.8,1.7,0.5,.445,.483,.353,.800,21.9,.086
60,357,2008,NBA,1,3,MIN,O.J. Mayo,20.239,G,us,University of Southern California,2009,2016,547,30.9,13.8,3.1,2.9,1.0,0.3,.429,.459,.373,.820,21.8,.062
61,358,1997,NBA,2,47,POR,Alvin Williams,22.329,G,us,Villanova University,1998,2007,460,27.4,9.0,2.5,4.1,1.2,0.2,.421,.443,.313,.760,21.7,.082
62,359,2001,NBA,1,4,CHI,Eddy Curry,18.209,C,us,,2002,2013,527,24.9,12.9,5.2,0.5,0.3,0.7,.545,.544,1.000,.642,21.7,.080
63,360,2010,NBA,1,8,LAC,Al-Farouq Aminu,19.281,F,us,Wake Forest University,2011,2018,589,24.8,7.5,5.9,1.2,1.0,0.6,.421,.464,.336,.726,21.6,.071
66,361,2013,NBA,1,21,UTA,Gorgui Dieng,23.166,C,sn,University of Louisville,2014,2018,376,24.5,8.3,6.7,1.5,0.9,1.1,.506,.517,.328,.785,21.6,.112
67,362,2002,NBA,1,24,NJN,Nenad Krstic,18.341,C,rs,,2005,2011,419,25.2,10.0,5.4,0.8,0.4,0.7,.494,.495,.143,.730,21.5,.098
68,363,2007,NBA,1,7,MIN,Corey Brewer,21.120,F-G,us,University of Florida,2008,2018,783,23.3,8.9,2.8,1.5,1.3,0.3,.425,.480,.283,.713,21.5,.057
69,364,2000,NBA,1,2,VAN,Stromile Swift,20.225,F,us,Louisiana State University,2001,2009,547,19.8,8.4,4.6,0.5,0.6,1.2,.473,.476,.074,.699,21.3,.095
70,365,1993,NBA,2,47,SAS,Chris Whitney,21.274,G,us,Clemson University,1994,2004,579,17.4,6.5,1.4,2.8,0.6,0.1,.395,.427,.361,.875,21.2,.101
71,366,1992,NBA,1,22,PHO,Oliver Miller,22.085,C,us,University of Arkansas,1993,2004,493,23.0,7.4,5.9,2.2,0.9,1.5,.534,.541,.116,.639,21.1,.089
72,367,1998,NBA,2,53,DAL,Greg Buckner,21.286,G,us,Clemson University,2000,2009,570,19.1,5.0,2.8,1.3,0.8,0.2,.450,.496,.334,.757,20.9,.092
73,368,2008,NBA,2,36,POR,Omer Asik,21.363,C,tr,,2011,2018,471,19.6,5.3,7.1,0.6,0.4,0.7,.528,.528,.000,.551,20.9,.109
74,369,2011,NBA,1,7,SAC,Bismack Biyombo,18.303,C-F,cd,,2012,2018,529,20.9,5.0,6.5,0.5,0.3,1.4,.513,.514,.000,.566,20.9,.091
75,370,2001,NBA,1,1,WAS,Kwame Brown,19.114,F,us,,2002,2013,607,22.1,6.6,5.5,0.9,0.5,0.6,.492,.493,.111,.570,20.8,.074
76,371,2002,NBA,2,53,MIA,Rasual Butler,23.040,F-G,us,La Salle University,2003,2016,809,21.3,7.5,2.4,0.8,0.4,0.5,.403,.437,.362,.747,20.8,.058
77,372,2014,NBA,1,25,HOU,Clint Capela,20.044,C,ch,,2015,2018,228,22.6,10.6,8.1,0.8,0.7,1.4,.629,.630,.000,.482,20.6,.193
78,373,2003,NBA,2,43,MIL,Keith Bogans,23.050,G-F,us,University of Kentucky,2004,2014,671,21.6,6.3,2.7,1.3,0.6,0.1,.394,.442,.353,.716,20.4,.068
79,374,2005,NBA,1,19,MEM,Hakim Warrick,22.361,F,us,Syracuse University,2006,2013,526,20.2,9.4,4.0,0.8,0.4,0.3,.490,.499,.191,.726,20.4,.092
80,375,2005,NBA,1,26,DET,Jason Maxiell,22.136,F,us,University of Cincinnati,2006,2015,618,18.4,5.6,4.2,0.4,0.4,0.8,.495,.496,.000,.564,20.3,.086
81,376,2009,NBA,1,13,IND,Tyler Hansbrough,23.240,F,us,University of North Carolina,2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,.439,.442,.136,.738,20.2,.134
82,377,2013,NBA,1,4,CHA,Cody Zeller,20.270,C-F,us,Indiana University,2014,2018,312,22.5,7.9,5.6,1.3,0.7,0.7,.504,.506,.250,.732,20.2,.138
83,378,2013,NBA,1,13,DAL,Kelly Olynyk,22.075,C-F,ca,Gonzaga University,2014,2018,354,21.3,9.9,4.9,1.9,0.7,0.5,.481,.542,.371,.750,20.2,.128
84,379,2001,NBA,1,18,HOU,Jason Collins,22.213,C,us,Stanford University,2002,2014,735,20.4,3.6,3.7,0.9,0.5,0.5,.411,.414,.206,.647,20.1,.064
85,380,2001,NBA,2,42,SEA,Bobby Simmons,21.030,G-F,us,DePaul University,2002,2012,466,24.7,9.0,3.8,1.5,0.8,0.2,.437,.452,.396,.823,20.1,.084
88,381,2000,NBA,2,37,MIA,Eddie House,22.051,G,us,Arizona State University,2001,2011,717,17.3,7.5,1.7,1.6,0.7,0.1,.409,.423,.390,.851,20.0,.077
